,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
00 manufacturing,,,,,,,,,,,,
000 cookie,,,,,,,,,,,,
000 die,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
000 like,,,,,,,,,,,,
000 people,,,,,,,,,,,,
000 tonight,,,,,,,,,,,,
000 viewer,,,,,,,,,,,,
000 watch,,,,,,,,,,,,
000 wow,,,,,,,,,,,,
02 11,,,,,,,,,,,,
0ï âƒ,,,,,,,,,,,,
10 big,,,,,,,,,,,,
10 million,,,,,,,,,,,,
10 year,,,,,,,,,,,,
100 000,,,,,,,,,,,,
100 watching,,,,,,,,,,,,
100 year,,,,,,,,,,,,
1000 year,,,,,,,,,,,,
11 20,,,,,,,,,,,,
11 kjv,,,,,,,,,,,,
117000 watch,,,,,,,,,,,,
12 people,,,,,,,,,,,,
12 vote,,,,,,,,,,,,
12 year,,,,,,,,,,,,
12 years,,,,,,,,,,,,
13 report,,,,,,,,,,,,
14 000,,,,,,,,,,,,
15 injured,,,,,,,,,,,,
1550 opelika,,,,,,,,,,,,
16 year,,,,,,,,,,,,
19 devil,,,,,,,,,,,,
197 pts,,,,,,,,,,,,
1994 crime,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
1st amendment,,,,,,,,,,,,
1st contact,,,,,,,,,,,,
1st responder,,,,,,,,,,,,
1stâ freedom,,,,,,,,,,,,
20 20,,,,,,,,,,,,
20 22,,,,,,,,,,,,
20 year,,,,,,,,,,,,
200 000,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
2000 stimulus,,,,,,,,,,,,
2020 2020,,,,,,,,,,,,
2020 2024,0.316227766016838,0.5414697392755848,0.316227766016838,0.5414697392755848,0.316227766016838,0.5414697392755848,-0.632455532033676,0.1778078083562211,0.316227766016838,0.5414697392755848,-0.632455532033676,0.1778078083562211
2020 2028,,,,,,,,,,,,
2020 24,,,,,,,,,,,,
2020 5x5,,,,,,,,,,,,
2020 666,-0.41736500618415145,0.4103036364236828,0.1391216687280505,0.7926638356375505,-0.41736500618415145,0.4103036364236828,-0.41736500618415145,0.4103036364236828,0.41736500618415145,0.4103036364236828,0.6956083436402525,0.12487982574290808
2020 america,,,,,,,,,,,,
2020 baby,,,,,,,,,,,,
2020 biden,,,,,,,,,,,,
2020 big,,,,,,,,,,,,
2020 bigly,,,,,,,,,,,,
2020 boy,,,,,,,,,,,,
2020 brazil,,,,,,,,,,,,
2020 california,,,,,,,,,,,,
2020 cancer,,,,,,,,,,,,
2020 commies,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
2020 cure,,,,,,,,,,,,
2020 denmark,,,,,,,,,,,,
2020 dothefive,,,,,,,,,,,,
2020 drain,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,-0.316227766016838,0.5414697392755848,0.632455532033676,0.1778078083562211
2020 forever,,,,,,,,,,,,
2020 free,,,,,,,,,,,,
2020 freedom,-0.20000000000000007,0.704,1.0,0.0,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704
2020 god,,,,,,,,,,,,
2020 good,,,,,,,,,,,,
2020 hunter,,,,,,,,,,,,
2020 landslide,-0.3985266984930429,0.43385766067017734,0.6642111641550715,0.15020042233101136,-0.13284223283101432,0.8019087881019875,-0.6642111641550715,0.15020042233101136,0.26568446566202863,0.6108504002950288,0.26568446566202863,0.6108504002950288
